Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
12,Liriodendron',1,Liriodendron_tulipifera',Yellow_poplar',300,368,61,0.47,1.748,0.4,0.15,0.316,2030,4047,6064,5,5,6,3,6,5,3,0,1,10,1,0.56,0.93,LIRItuli
13,Nyssa',1,Nyssa_sylvatica',Black_gum',300,92,18,0.52,0.562,0.46,0.15,0.316,2030,4521,7011,1,3,4,2,4,4,3,0,0.01,1,1,0.31,0.78,NYSSsylv
14,Oxydendron',1,Oxydendron_arboreum',Sourwood',200,30,15,1.32,0.669,0.5,0.15,0.316,3052,3878,4704,3,4,6,2,4,4,3,0,1,100,1,0.56,0.78,OXYDarbo
15,Pinus',1,Pinus_echinata' ,Shortleat_pine',300,122,45,1.10,1.279,0.47,0.15,0.5,3052,4145,5238,5,2,6,1,1,2,2,1,0.01,1,1,0.56,0.93,PINUechi
15,Pinus',2,Pinus_strobus',White_pine',400,183,67,1.00,1.429,0.34,0.15,0.5,388,1961,3533,3,2,6,1,2,2,1,1,0.01,1,1,0.56,0.93,PINUstro
15,Pinus',3,Pinus_virginiana',Virginia_pine',300,91,37,1.12,1.056,0.45,0.15,0.5,3052,3563,4074,5,2,6,1,3,2,2,1,0.01,1,1,0.56,0.93,PINUvirg
16,Prunus',1,Prunus_serotina',Black_cherry',250,214,39,0.50,1.386,0.45,0.15,0.316,2148,4106,6064,4,5,5,3,4,5,1,0,0.1,10,1,0.1,0.31,PRUNsero
17,Quercus',1,Quercus_alba',White_oak',400,246,46,0.54,1.003,0.47,0.15,0.316,1630,3641,5651,3,2,5,1,2,2,1,0,0.1,10,1,0.1,0.31,QUERalba
17,Quercus',2,Quercus_coccinea',Scarlet_oak',400,147,30,0.54,0.666,0.6,0.15,0.316,2263,3483,4704,5,1,6,1,2,3,2,0,0.1,10,1,0.1,0.31,QUERcocc
17,Quercus',3,Quercus_falcata',Southern_red_oak',400,215,37,0.47,0.826,0.71,0.15,0.316,3052,4558,6064,5,2,6,1,2,2,2,0,0.1,10,1,0.1,0.31,QUERfalc
17,Quercus',4,Quercus_prinus',Chestnust_oak',267,183,30,0.45,1.005,0.57,0.15,0.316,2030,3161,4291,2,1,5,1,1,1,1,0,0.1,10,1,0.1,0.31,QUERprin
17,Quercus',5,Quercus_rubra',Northern_red_oak',300,214,46,0.58,1.332,0.57,0.15,0.316,388,2546,4704,2,1,5,1,2,2,1,0,0.1,10,1,0.1,0.31,QUERrubr
17,Quercus',6,Quercus_stellata',Post_oak',400,122,31,0.67,0.676,0.56,0.15,0.316,3052,4558,6064,5,1,6,1,1,2,2,0,0.1,10,1,0.1,0.31,QUERstel
17,Quercus',7,Quercus_velutina',Black_oak',300,214,42,0.53,1.224,0.56,0.15,0.316,1823,3531,5238,3,1,5,1,1,1,1,0,0.1,10,1,0.1,0.31,QUERvelu
18,Robinia',1,Robinia_pseudoacacia',Black_locust',200,153,31,0.57,1.358,0.66,0.15,0.316,3052,3563,4074,5,2,6,3,5,5,3,0,0.01,1,1,0.56,0.78,ROBIpseu
19,Sassafras',1,Sassafras_albidum',Sassafras',200,61,24,1.10,1.075,0.42,0.15,0.316,2030,4047,6064,5,2,6,1,4,4,3,0,0.01,1,1,0.56,0.78,SASSalbi
20,Tilia',1,Tilia_heterophylla',White_basswood',150,76,24,0.86,1.445,0.32,0.15,0.316,3052,3878,4704,2,6,4,3,5,5,3,0,0.01,1,1,0.31,0.78,TILIhete
